id,book_name,book_publisher,book_author,book_description,book_desc,book_position,dewy_tenth,col_8,book_seriesno,book_seriesname,book_col11,book_access,book_creator,deleted_at,created_at,updated_at
446,على خطى السيد المسيح,مطبعة- النوبار -العبور طبعة2016*رقم الايداع 2016-9718, تقديم -الانبا ارميا المؤلف-سامى وكلية,يحتوى على وصف لاورشليم القدس تاريخيا مدعما الكلام بعشرات الصور المشارحه والموضحة لخطى السيد المسيح ى الاماكن التى سار بها هناك وصولا الى الصلب والدفن,تاريخ ايبارشيات,ر15-ك18م1+م2,,978-977-334-219-7,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
447,على باشا ابراهيم رائد النهضة الطبيه الحديثة ,مطبعة- مكتبة الاسكندرية - طبعة2007 *رقم الايداع 21390-2007,تقديم-اسماعيل سراج الدين تحرير- خالد عزب وسوزان عابد,يحتوى على سيرة هذا العملاق الذى يرجع له الفضل فى تاسيس الجمعية الطبية المصرية ولم شمل الاطباء فى مقر دار الحكمة وهى النواه الاولى لنقابة الاطباء كما كان له الفضل فى السعى لانشاء مسشتفى القصر العينى والتى توسط لها لدى الملك احمد فؤاد الاول ويرجع له ايضا الفضل فى تاسيس جامعة الاسكندرية كلية العلوم والطب فيها والكتاب مدعم للعديد من الصور والوثائق القديمه الهامه,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك15,617092,978-977-6163-91-1,1,ذاكرة مصر المعاصرة,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
448,علمانى كرس قلبة لله,مطبعة- المركز المصرى للطباعه - الناشر -كنيسة مارمرقص-مصر الجديدة -  كنيسة السيدة العذراء والقديسين بولس ويوحنا المعمدان عين شمس الغربية,اعداد- مجموعه من اساقفة وكهنة وخدام ,يحتوى على تاريخ الراحل الخادم استاذ سمير صبحى(متاح عدد 2نسخه),تراجم علمانيون,ر10-ك25م1+م2,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
449,علماء العرب,الناشر- تراد سكيم شركه مساهمه سويسريه جنيف للتسويق: الشركه الشرقيه للمطبوعات ش.م.م,اعداد وتحقيق- د.يوسف فرحات,يحتوى على يتناول تاريخ علوم عند العرب منذ بدء النهضة العلمية فى اواخر القرن الثانى للهجرة حتى اواخر القرن الثامن للهجرة .... الخ ,تراجم ادباء وفنانين وعلماء وزعماء حول العالم,ر49-ك6,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
450,علم اللاهوت السياسى2-9,مطبعة -مكتب النعام للطباعة والتجاره*رقم الايداع 4159-2016 ,تأليف-د.شرابى اسكندروس شرابى ابلى دكتوراه فى اللاهوت,يحتوى على اول اشاره عن الحاجه الى انشاء وقيام نظام الدوله وعن التطور للنظام السياسى للدوله وتطور نظام الحكم والعديد من المواضع المرتبطه بهذا الموضوع,قوانين الكنيسة والقرارت(الدسقولية),ر26-ك17- يمين,,978-977-903-373-7,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
451,علم اللاهوت التشريعى2 -10,مطبعة- مكتب النعام للطباعه والتجاره*رقم الايداع 4158-2016,تأليف-د.شرابى اسكندروس شرابى ابلى دكتوراه فى اللاهوت,يحتوى على بحثفى الشرائع الالهيه التى ذكرت فى الكتاب المقدس والتى تنظم العلاقات وتضع قواعد اسس المعاملات بين الناس بعضهم البعض وبين الناس وسلطات الدوله التشريعيه والتنفيذيه والقضائيه,قوانين الكنيسة والقرارت(الدسقولية),ر26-ك16- يمين ,,978-977-903-784-4,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
452,علم التاريخ ,مطبعة- محمد عبد الكريم حسان الناشر-مكتبة الانجلو المصرية* رقم الايداع 2010-3220,المؤلف -دكتورشوقى الجمل,يحتوى على علم التاريخ نشأته وتطورة ويتطرق الى اسفار العهد القديم التوراه واهميتها فى اخبار الخليقة الاولى كما قدم شرحا وافيا عن التاريخ عند العرب وشرحا للتاريخ بين العلوم الاخرى وثيقة الصلة بعلم التاريخ وتكلم عن الصفات الواجب توافرها فى المؤرخ  والسلوك الخاص بالباحث ومنهج البحث التاريخى واختيار موضوع البحث عن اهم المصادر والمراجع التى ينتقى منها الباحث معلوماتة  ونقد للاصول التاريخية وترتيب المادة التاريخية وكتابة البحث وطرقة,كتب متفرقات فى التاريخ,ر31-ك7,,977-05-0012-7,,,سعره 40,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
453,عظات مشبعة للمتنيح القمص مقار شنودة,مطبعة- دار يوسف كمال للطباعه -الناشر- الراهبة هلبيس-مارجرجس مصر القديمة(ابنته)* رقم الايداع15965-2008,اعداد-  المتنيح القمص مقار شنودة ,يحتوى على تذكار السنه الثامنة لنياحة عاشق الله القديس مقار شنودة  بالبحيرة ويحتوى على مجموعة عظات له وصور فتوغرافية,تراجم كهنة ورهبان وراهبات,ر9-ك72,274.2,,3,كتابات عاشق الله ,سعره 2.90,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
454,عطاء بلا حدود,اصدار - كنيسة مارجرجس هليوبوليس - مصر الجديدة ,اعداد- مجموعه كهنة وعائلته وخدام ,يحتوى على ذكرى الاربعين للخادم الامين الدكتور صفاء الطويل  وايضا يحتوى على تاريخ هذا الخادم المحب للعطاء وذكر على الغلاف الرئيسى اسم الكنيسة التى خدم بها هذا العملاق المحب وهى كنيسة الشهيد العظيم مارجرجس والانبا ابرام-بمصر الجديدة,تراجم علمانيون,ر10-ك16,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
455,عصر المجامع,مطبعة- النوبار - العبور  الناشر - مكتبة المحبة - طبعة اولى *رقم الايداع 2015 -23504,المؤلف-القمص كيرلس الانطونى ,يحتوى على دراسة علمية وثائقية للمجامع المسكونية الكبرى الاربعة الهامة واسباب الانعقاد لكل واحد فيها واهم الشخصيات والمناقشات التى دارت وتحليل للقرارات مع اضافات اخرى هامة لازمة,تاريخ الكنيسة,ر6-ك5,,978-977-12-1364-2,,دراسات تاريخية متعمقة ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
456,عشرون عاما جمهورية المانيا الديمقراطية,مطبعة- دار النشر تسايت ايم بيلد- درسن - برلين 1969,لجنة الاعداد-للعيد العشرين لتاسيس جمهورية المانيا الديمقراطية,يحتوى على الكتاب عبارة عن وثائق حول السياسة الوطنية والعالمية لجمهورية المانيا الديمقراطية سنه 1969م,تاريخ الدول(ايران،الاتحاد السوفيتى...الخ),ر47-ك4,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
457,عشرة ايام مجيدة ,مطبعة- دار الهلال -طبعة 1957,اشراف- نسيم عمار ,يحتوى على كتابة هدية مع مجلة المصور العدد رقم 4803 بتاريخ 26 اكتوبر 2016م وقد ظهر هذا الكتاب الذى اعيد طباعته فى ذكرى مرور 60 عاما على العدوان الثلاثى 1956م وقد وضح الكتاب كيفية استبسال اهل بورسعيد لفدى كل مصرى على ارض مصر,مناسبات مصرية وعالمية,ر93-ك10,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
458,عزيزى شارلى....,مطبعة- المعرفة -لاظوغلى - الناشردار الفجر للنشر والترجمة طبعة ديسمبر1958م, اعداد- كامل التلمسانى,يحتوى على تاريخ عملاق الكوميديا شارلى شابلن ومرفق صور قديمة به,تراجم ادباء وفنانين وعلماء وزعماء حول العالم,ر49-ك1,,,,,سعره 20 قرش,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
459,عذراء الفجالة  - رحلة125 سنه,مطبعة- بارثينوس  الناشر - كنيسة العذراء بالفجالة - القاهرة - طبعة اولى2009م * رقم الايداع 2009-21098 , تقديم - نيافه الحبر الجليل الانبا يؤانس اعداد-صفوت رجائى- عادل رمزى - عاطف دانيال - فوزى يوسف,يحتوى الكتاب على تاريخ كنيسة الفجاله فى الترة الممتده من 1884م الى 2009م خلال رحلة 125 سنة من العطاء,كنائس واديرة,ر16-ك54,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
460,صفحات من تجربتى,مطبعة- الاهرام التجارية الناشر -المكتب المصرى الحديث* رقم الايداع 1981-2566,اعداد- عثمان احمد عثمان ,يحتوى على سيرة حياة عثمان احمد عثمان مؤسس اكبر شركة مقاولات فى الشرق الاوسط وهى شركة المقاولون العرب كما سلط الكتاب الضوء على هذة الشخصية عندما تولى الوزارة واصبح رائد للتعمير والامن الغذائى والتنمية الشعبية,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك7,,977-7323-26-0,,,سعره 100قرش,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
461,مجلة المصور ,مطبعة- دار الهلال -طبعة 21 اغسطس 2016م - العدد4795,رئيس مجلس الادارة -غالى محمد,يحتوى على ملحق تذكارى مع مجلة المصوريتكلم عن السيرة الذاتية لجمال حمدان موسوعة شخصية مصر,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك3مجلة ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
462,عبد العزيزبن مروان ,مطبعة-الهيئه المصرية العامة للكتاب -طبعة2005م*رقم الايداع 2005-2690,اعداد-د.سيدة اسماعيل كاشف,يحتوى على نشاة عبد العزيز بن مروان واسرتة وتوليته امارة مصر وادارة الدولة وسياستها المالية والادارية فى عهده كما تناول احوال الجيش والبحرية واحوال القضاء فى مصر وتعرض لبوادر تعريب مصر وقدم مسحا شاملا للاثار والفنون وتعرض ايضا لمشكة ولاية العهد ,مصر, ر55-ك9,,977-01-9469-7,239,تاريخ المصريين,سعره 475 قرش,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
463,عبد الحليم حافظ ايامنا الحلوة ,مطبعة-مركز الهلال للتراث الصحفى بالتعاون مع الكواكب,رئيس مجلس الادارة -غالى محمد بقلم - اسماعيل شبانه ,يحتوى على تراجم ومذكرات الفنان القدير عبد الحليم حافظ قصة حياته بالصور وبخط يدة ,تراجم ادباء وفنانين وعلماء...مصريين,ر50-ك20,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
464,عبارة عن خمسة كتب مستطيلة مخصصة للسياحه وتتكلم فى كل منها عن مدينه عريقة مصرية,طبعة ثانية منقحة,بقلم-حنا يوسف عطالله شقيق قداسة البابا القس رافائيل افامينا(الشماس روفائيل صبحى)المشماس الخاص لقداسته,يحتوى على والكتب محلاة بالصور ومكتوبة بلغة الانجليزية والفرنسية : القاهرة،سيناء،اسكندرية ومطروح،الاقصر، الوحات,مدن مصرية,موجودة ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
465,عالم وعلامة الارشيدياكون نجيب جرجس,مطبعة -دير الشهيد العظيم مارمينا العجائبى بميروط طبعة اولى اكتوبر2016 *رقم الايداع20767-2016,تاليف-القس اغسطينوس ايليا,يحتوى على تاريخ هذا العملاق الكنسى والذى تم تعينة واعظ بالزقازيق وعمل مدرسا باكليريكية الصعيد وتكلم الكتاب عن خدمات هذا المعلم المختلفة ووجه الضوء علية كاتبا وكاتبا مسرحيا وشاعرا كما قدم الكتاب مجموعة اقترحات مقدمة من الارشيدياكون نجيب جرجس للكنيسة القبطية فى شتى المجالات وفى النهاية قدم الكتاب ملحق تاريخى عن ملوى وانصنا والاشمونين بصورة موجزة سريعة,تراجم علمانيون,ر10-ك65,,,سعره 10جنيه,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
466,عالم الاقباط كتاب عن الحياة اليومية عند الاقباط قديما,مطبعة- دار يوسف كمال للطباعه الناشر -ايبارشية النمسا * رقم الايداع 2004-18383,ترجمة واعداد-هلجا ديل وناصر البردنوهى - تقديم ومراجعة -نيافة الانبا جبرييل اسقف النمسا ,يحتوى على تفاصيل الحياة اليومية عند الاقباط قديما من مخطوطات واثار قبطية تنشر لاول مرة ،فنجدة تكلم عن اسماء الاقباط فى القرون الاولى كما تكلم عن ادوات الكتابة والحساب والفلسفة وعن الاكل والشرب واللبس وحاجة البيت وعن ايجار وتمليك الاملاك ،وعن الزراعة وتجارة الحيوانات والنبيذ وعن البيت والمطبخ ،والعلاقات الاجتماعية و قعدات الرجال وعن الحرف والرسوم والكتابة كحرفة،والسياسة وتصاريح السقر والسخرة والسلطات والمرض والدواء والموت والحياة الابدية والنسيج القبطى والنقود والمعايير والمكاييل والشهور القبطية,تاريخ الاقباط,ر1-ك20م1+م2,,3-00-013886-2,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
467,عاشق البرية الراهب القمص بيمن السريانى سيرته-تعاليمة,مطبعة-ديرالشهيد مارمينا العجائبى بميروط - الناشر-ديرالسيدة العذراء السريان- طبعة اولى نوفمبر2011م* رقم الايداع17111-2011,اعداد-الراهب القمص زكريا السريانى - مراجعة وتقديم-نيافة الانبا متاؤس اسقف ورئيس دير السريان العامر , يحتوى على يتناول الكتاب سيرة الراهب القمص بيمن السريان هذا الاب الممتدة من 1929م الى2010,تراجم كهنة ورهبان وراهبات,ر9-ك78    ,,977-5088-79-8,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
468,طيف ملاك ,اصدار - ايبارشية ايرلندا واسكتلندا وشمال شرق انجلترا وتوابعها  ودير القديس العظيم الانبا بولا اول السواح بالبرية الشرقية بالبحر الاحمر وكنيسة العذراء مريم بعياد بك بشبرا ,اعداد - مجموعة من اساقفة وكهنة وخدام ,يحتوى على سيرة طيف ملاك الراهب الفاضل القس سمعان الانبا بولا ومقتطفات من تاملاتة,تراجم كهنة ورهبان وراهبات,ر9-ك74   ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
469,طيباريوس الجندى الذى قطع راس يوحنا المعمدان ودق المسمار فى يد مخلصنا الصالح,مطبعة- دار الجيل للطباعه الناشر-لجنة التحرير والنشر -مطرانية بنى سويف طبعة اولى مارس 2008*رقم الايداع 2008-17530,تأليف-الاغنسطس ابراهيم عياد جرجس,يحتوى على قصة حياة طيباريوس الجندى,تاريخ الكتاب المقدس ,ر26-ك7- شمال ,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
470,طقس سيامة الرهبان وحياة كبار قادة الرهبنه,مطبعة -الانبا رويس الاوفست العباسية - طبعة اولى اكتوبر 1988م * رقم الايداع 1988-8687,اعداد-الراهب القس. زخارياس الانطونى,يحتوى على من هو الراهب وما هى الرهبنه وطقس سيامة الرهبان وما هى اسس الرهبنه المسيحية وما هى نظم الرهبنه وسيرة اهم مؤسيسها مثل الانبا بولا اول السواح وسيرة الانبا انطونيوس الكبير اب الرهبان وسيرة القديس باخوميوس الكبير اب الشركه وسيرة مقاريوس الكبير(مقاريوس المصرى)وسيرة الانبا شنودة رئيس المتوحدين كما تطرق الكتاب لعدد 14 سؤال فى الرهبنه واجابتهم,تاريخ الرهبنة,ر14-ك13,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
471,طاحونة الهواء للبابا كيرلس السادس,ناقص,ناقص,يحتوى على مديح باكر ادام كتسليم البابا كيرلس السادس,لغة قبطية+خولاجى وترانيم ومدايح وتسابيح وصلوات,ر25-ك19- يمين,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
472,ضاحية مصر الجديدة دراسة للتطور العمرانى , اصدار-جامعة عين شمس -كلية البنات  قسم الجغرافيا - القاهرة1985,اعداد الطالبة-رجاء عبد الحليم محمد الخوجة - اشراف الاستاذ- د. محمود عبد اللطيف عصفور  والاستاذة- د. عايدة نسيم بشارة ,يحتوى على رسالة مقدمة للحصول على درجة الماجستير فى الاداب قسم الجغرافيا ,ارشيف تاريخ مصر الجديدة,ر58-ك14- كتب,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
473,صور من حياة المتنيح القمص لوقا اسكندر ,مطبعة- دبر الشهيد العظيم مارمينا العجائبى بمريوط*رقم الايداع 2003-19993,اعداد -د.اسكندر القمص لوقا اسكندر,يحتوى على صور من حياة المتنيح القمص لوقا اسكندر بمناسبة اليوبيل الذهبى لكاتدرائية مارجرجس بطنطا ومرور ثلاثين عاما على نياحتة,تراجم كهنة ورهبان وراهبات,ر9-ك76   ,,977-17-1185-7,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
474,صور من حياة البابا كيرلس السادس ,ناقص,اصدار- ابناء البابا كيرلس ,يحتوى على عدد من صور للبابا كيرلس ونبذة عنة والتعليق فى الكتاب سواء لتاريخ حياة البابا او اسفل كل صورة، مترجم الى3 لغات عربى-الانجليزيه-الالمانية,تراجم بطاركة,ر3-ك1,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
475,صلوات خاصة تلزم كل مسيحى ,اصدار-بطريركية الاقباط الارثوذكس كنائس منطقة المعادى كنيسة القديس الانبا ارسانيوس طره كوتسيكا ,اعداد- صاحب النيافة الحبر الجليل الانبا دانيال اسقف عام كنائس المعادى والبساتين ,يحتوى على صلوات خاصة تلزم كل مسيحى القديس العظيم الانبا ارسانيوس معلم اولاد الملوك ,لغةقبطية+خولاجى وترانيم مدايح وتسابيح وصلوات,ر25-ك1-يمين,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
476,صلاة رفع بخور عشية,مطبعة- شركة مريت للطباعه * رقم الايداع 1987-5037,اصدار- كنيسة مارمرقس القبطية الارثوذكسية بمصر الجديدة ,يحتوى على ترتيب صلاة رفع بخور عشية ,لغة قبطية+خولاجى وترانيم ومدايح وتسابيح وصلوات,ر25-ك23- يمين,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
477,صفحات من مواطنة الاقباط ,مطبعة وناشر -مكتبة المحبة-شبرا طبعةاولى *رقم الايداع2007-26159,تأليف-رامى عطا صديق تقديم-نيافة الانبا مرقس اسقف مدينة شبرا الخيمة وكل توابعها,يحتوى على مواقف وطنية لمصرين قبل ان يكونوا مسلمين اومسيحين مثل مواسقف من حياة البابا بطرس السابع والذى رفض حماية الاجانب للاقباط ومواسقف حركة الاصلاح القبطى فى العصر الحديث على يد البابا كيرلس الرابع  وتكلم الكتاب عن ام واحدة هى مصر واب واحد هو النيل سواء للاقباط او المسلمين وواجبات المرأة وحقوقها والسيدة ملكة سعد ومجلتها من اجل نهضة مصر المرأة المصرية والرقى بها والمسئوليه العامه للتضامن الانسانى من اجل خير المجتمع وصالح ابنائه والاقباط يقولون لسعد زغلول :الوطنية لست حكرآعلى المسلمين وحدهم وعيد النيروز سنة 1999يحتفل به الاقباط والمسلمون وبلسم عبد الملاك تحى ذكرى مصطفى كامل فى ساحة الازهر واحتفاء القاضى الشرعى لمدينة السويس بالبابا يؤانس التاسع عشر ومدافعة السيد سلامه موسى عن الحرية والاستقلال ومواسقف للانبا يؤانس اسقف الجيزه والقليبوبية توثيق اهمية كرامة الكنيسة من كرامة الوطن ودعوة الاستاذ حبيب جرجس (القديس)لوحدة المصريين,تاريخ الاقباط,ر1-ك5,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
478, الجيش المصرى البرى والبحرى,مطبعة والناشر-مكتبة مدبولى -طبعة ثانية1996, اعداد-للامير عمر طوسون,يحتوى على صفحة من تاريخ مصر فى عهد محمد على - الجيش  المصرى البرى والبحرى ,مصر,ر56-ك10,,,3,صفحات من تاريخ مصر ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
479,صفحات من تاريخ مصر فى عصر السيوطى,مطبعة -دار التاليف-طبعة 1965 ,تاليف-عبد الوهاب حموده,يحتوى على تاريخ المماليك والحالة السياسة والاجتماعية والعقلية فى عصرهم وتطرق الى الخانقاه والجوامع فى مصر والاجازات المتعارف عليها والموسوعات والكتب فى هذا العصر والمدارس كما تطرق الى الحياة الادبية والخطابة والنصائح والمواعظ و الوصايا والحكم وكتابة الرسائل والدواوين والعلوم العربية وعلوم البلاغة والفنون وتاريخ حياة ونشاة السيوطى ودراساتة وحياتة الوظيفية اوالعلمية واثارة العلمية والادبية واتقانة لعلوم القران ومقاناته,مصر,ر56-ك36,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
480,تاريخ مصر(فى عهد الخديو اسماعيل باشا ) ,الناشر-مكتبة مدبولى - القاهرة طبعة ثانية1996م,وضعه-الياس الايوبى,يحتوى على تاريخ مصر فى عهد الخديو اسماعيل باشا من سنة 1863 الى 1879 ,تراجم حكام وقادة وثوار,ر51-ك13ج1ج2,,,8+9 ج1+ج2,صفحات من تاريخ مصر ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
481, صليب باشا سامى1891-1952,الناشر-مكتبة مدبولى - طبعة اولى1999,نقد وتحقيق الدكتور-سامى ابو النور,يحتوى  على قصة هذا القبطى الذى كانت اسرته من كبريات الاسر القبطية فى مصر اذ امتلكت نحو 1500 فدان كما انه صليب باشا سامى تولى مناصب فى الوزارة لعدد تسع مرات منها تولية وزارة الحربية والبحرية وهى المرة الاولى التى يتولى قبطى هذة الوزارة كما اقترن اسمه بأشهر ازمات تلك الفترة كقطع العلاقات السياسية مع حكومة فيشى الموالية للمحور,تراجم حكام وقادة وثوار,ر51-ك17,,,40,صفحات من تاريخ مصر ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
482,تاريخ دولة المماليك فى مصر,الناشر-مكتبة مدبولى- القاهرة - طبعة اولى1995م,تاليف-السير وليم موير,يحتوى على تاريخ دولة المماليك فى مصر الذين ابتدا حكمهم بيبرس عام 1260م وانتهى على يد السلطان سليم العثمانى عام 1517م ,مصر,ر56-ك18,,,25,صفحات من تاريخ مصر ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
483,صرخة دم عالية شهداء مذبحة ماسبيرو,مطبعة -دير الشهيد العظيم مارمينا العجايبى بمريوط طبعة اولى 2012م*رقم الايداع4518-2012,اعداد-حلمى القمص يعقوب ,يحتوى على التفاصيل الدقيقة لشهداء مذبحه ماسبيرو وماصحبها من الاحداث ونجد انه يوجد كلمة عن شكر الرب مقدمة من ابونا داود لمعى كاهن كنيسة مارمرقس مصر الجديدة وذلك فى تقدمة الكتاب بعد كلمة قداسة البابا شنودة الثالث *كنيسة القديسين مارمرقس الرسول والبابا بطرس خاتم الشهداء بالاسكندرية *اقرا وافهم تاريخ كنيستنا,تراجم علمانيون,ر10-ك73,,,,,سعره 50,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
484,صاحب البصيرة الروحية ابونا الحبيب الراهب القمص متاؤس السريانى,مطبعة- دير الشهيد العظيم مارمينا العجائبى بمريوط الناشر-دير السيدة العذراء السريان - طبعة خامسة ابريل2015م* رقم الايداع 20605-2008,اعداد-الراهب القمص اغناطيوس السريانى- مراجعة وتقديم-الانبا متاؤس اسقف ورئيس دير السريان العامر,يحتوى على سيرة ابونا الحبيب الراهب القمص متاؤس السريانى اقوالة وميلادة ونشاته واشتياقاته الرهبانية الاولى ,تراجم كهنة ورهبان وراهبات,ر9-ك88   ,,977-5088-49-6,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
485,شيخ روحانى وبركة المعادى ,مطبعة-تجميع مادة كنيسة العذراء مريم بالمعادى - طبعة اولى سبتمبر 2002 *رقم الايداع2002-15910,مراجعة -نيافة الانبا دانيال اسقف عام كنائس المعادى ,يحتوى على سيرة المتنيح القمص بشارة ابراهيم ,تراجم كهنة ورهبان وراهبات,ر9-ك17   ,,977-6085-00-8,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
486,شهود يهوه من هم؟كيف نشأوا؟وما هى عقائدهم؟,مطبعة -توب ارت - طبعة اولى 30-4-2000*رقم الايداع 2000-2198, المؤلف -القس عبد المسيح بسيط ابو الخير ,يحتوى على دراسه تحليلة لفكر وتاريخ وعقائد شهود يهوه على مدى 125 سنه هى تاريخهم ويتكلم الكتاب فى فصوله الثانية عشر عن[ملخص لاهم عقائد شهود يهوه،ايمانهم بانجيل اخر مسيح اخر،جذور ونشأة شهود يهوه،منظمة او هيئة الله المنظورة او العبد الامين،اسلوب شهود يهوه فى تفسير الكتاب المقدس،نبوات شهود يهوه عبر التاريخهم،تغير دائم فى عقائد شهود يهوه ام نور جديد،القطيع الصغير والجمع الكثير او ال 144.000 الممسوحين والخراف الاخر ،ازمنه الامم وسنه 1914م والجيل الذى لن يرى الموت،شهود يهوه والمجئ الثانى،الاخرويات فى فكر شهود يهوه،موت المسيح وقيامته فى فكر شهود يهوه،عقيدة الثالوث فى فكر شهود يهوه,مذاهب وطوائف متنوعة,ر27-ك18,,,,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
487,شهود يهوه اراهم واثارهم,مطبعة-الدار العربية للموسوعات طبعة اولى 2008م *رقم الايداع 1428-7954,اعداد-محمد سانوغوبن عثمان الكنبلى,يحتوى على نشات شهود يهوه وزعمائها اللذين تولوا الذين كان لهم الفضل فى ظهورهم كما تطرق الكتاب الى الهيكل التنظيمى واماكن ولاجتماعات والمدارس الشهودية والمجلات والمطابع وتطرق الى عقائدهم وارائهم وموقفهم من الاديان عامه ومن اليهوديه والمسيحيه والاسلام خاصتا,مذاهب وطوائف متنوعة,ر27-ك28,289.9,978-9960-890-81-4,,رسائل جامعية ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
488,شهداؤنا فى ليبيا,مطبعة-نوبار - العبور طبعة اولى مارس 2015م *رقم الايداع 2015-7072,المؤلف-الانبا ارميا,يحتوى على سيرة وقصة استشهاد عدد 21(واحد وعشرون) قبطيا على يد الارهابين الدواعش,تراجم علمانيون,ر10-ك6,,978-977-334-189-3,,بطريركية الاقباط الارثوذكس,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
489,شهداء وقديسون باسم اباكير ويوحنا,مطبعة وناشر-مكتبة المحبة -شبرا - طبعة اولى فبراير2009م*رقم الايداع 2009-3780,اعداد-الشماس ريمون عبد المسيح البتانونى-مراجعة وتقديم-نيافة الانبا اباكير الاسقف العام,يحتوى على سيرة القديسون اباكير ويوحنا ,تراجم سير قديسين,ر7-ك74,,977-12-0949-3,,البحث عن الجذور ,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
490,شهداء وشهود وحب بلا حدود ,مطبعة -الدلتا للطباعة - طبعة اولى2002*رقم الايداع7140-2002,المؤلف-القمص تادرس البرموسى *مراجعة نيافة الانبا ايسوزورس,يحتوى على سير قديسين عظام مثل(بؤيموس واخية فيليكيانوس الشهيدين -مرشلليتوس وبطرس الشهيدين-باسيوي الشهيد-بمفيلوس الشهيد-نيبرسيوس الشهيد-رومانوس الشهيد الانطاكى-ابوليتوس الشهيد-تيموثاوس الشهيد-كرسينوس وكريسبيناستوس الشهيدين-جوليانوس الشهيد-بوليكاريوس الشهيد-ادريانوس الشهيد-بوستينوس الفيلسوف الشهيد-كبرنيوس الشهيد-ايرنياس الشهيد-ديونيسيسوس الايريوباغى الشهيد-كانتن الشهيد-غالاتيون الشهيد-ساتورتينوس الاسقف الشهيد-فلابيانوس الشهيد-سابينوس الشهيد),تراجم سير قديسين,ر7-ك46,,,ج2,,,1,NULL,NULL,2020-02-26 16:45:47,0000-00-00 00:00:00
